id,organization_id,transaction_id,line_number,entity_id,line_type,description,quantity,unit_amount,line_amount,discount_amount,tax_amount,smart_code,smart_code_status,ai_confidence,ai_classification,ai_insights,line_data,created_at,updated_at,created_by,updated_by,version,line_amount_base
56223458-0e52-4eb1-ac4d-a2966c7f54cb,378f24fb-d496-4ff7-8afa-ea34895a0eb8,8afb9d00-0aa7-4ad3-aa06-ff01599bcc9f,3,,tip,Gratuity for Excellent Service,1.00000000,25.00000000,25.00000000,0.00000000,0.00000000,HERA.SALON.SALE.LINE.TIP.v1,DRAFT,0.0000,,{},"{""payment_method"": ""card"", ""tip_percentage"": 13.5}",2025-10-26 15:18:36.992708+00,2025-10-26 15:18:36.992708+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1,25.00
63b10985-47e8-4a91-9950-d6b2ba688b8d,378f24fb-d496-4ff7-8afa-ea34895a0eb8,8afb9d00-0aa7-4ad3-aa06-ff01599bcc9f,4,,tax,Service Tax (5%),1.00000000,9.25000000,9.25000000,0.00000000,0.00000000,HERA.SALON.SALE.LINE.TAX.v1,DRAFT,0.0000,,{},"{""tax_rate"": 0.05, ""tax_type"": ""service_tax""}",2025-10-26 15:18:36.992708+00,2025-10-26 15:18:36.992708+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1,9.25
b01409fa-9051-46e6-9e69-13ca40bb7bfb,378f24fb-d496-4ff7-8afa-ea34895a0eb8,d2f44403-85d4-48ca-a48b-fbdaca96dcf9,1,,product,Premium Hair Serum - Professional Grade,2.00000000,35.00000000,70.00000000,0.00000000,0.00000000,HERA.SALON.PRODUCT.LINE.SERUM.v1,DRAFT,0.0000,,{},"{""size"": ""100ml"", ""brand"": ""Salon Professional"", ""product_code"": ""SERUM-PROF-001"", ""recommended_usage"": ""apply_to_damp_hair""}",2025-10-26 15:18:38.072682+00,2025-10-26 15:18:38.072682+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1,70.00
0e4781db-c481-4916-b928-d0f2b394bf80,378f24fb-d496-4ff7-8afa-ea34895a0eb8,d2f44403-85d4-48ca-a48b-fbdaca96dcf9,2,,product,Conditioning Shampoo & Conditioner Set,1.00000000,75.00000000,75.00000000,0.00000000,0.00000000,HERA.SALON.PRODUCT.LINE.SHAMPOO_SET.v1,DRAFT,0.0000,,{},"{""brand"": ""Salon Professional"", ""hair_type"": ""all_types"", ""product_code"": ""SHAMP-SET-001"", ""set_contents"": [""shampoo_500ml"", ""conditioner_500ml""]}",2025-10-26 15:18:38.072682+00,2025-10-26 15:18:38.072682+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1,75.00
c8cfd145-b4ef-4859-b744-f4957291000c,378f24fb-d496-4ff7-8afa-ea34895a0eb8,f99fc513-3ced-472b-9b9b-fe9629ccde93,1,,service,VIP Full Color & Cut Service,1.00000000,250.00000000,250.00000000,0.00000000,0.00000000,HERA.SALON.APPOINTMENT.LINE.VIP_FULL.v1,DRAFT,0.0000,,{},"{""stylist"": ""Michele (Master Stylist)"", ""service_name"": ""VIP Full Color & Cut"", ""service_level"": ""vip_premium"", ""scheduled_time"": ""2025-10-29T15:20:16.009Z"", ""duration_minutes"": 180}",2025-10-26 15:20:16.100247+00,2025-10-26 15:20:16.100247+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1,250.00
8f78401c-9070-462d-88a8-60b9b33617ae,378f24fb-d496-4ff7-8afa-ea34895a0eb8,f99fc513-3ced-472b-9b9b-fe9629ccde93,2,,service,Luxury Scalp Treatment,1.00000000,100.00000000,100.00000000,0.00000000,0.00000000,HERA.SALON.APPOINTMENT.LINE.SCALP.v1,DRAFT,0.0000,,{},"{""products_used"": [""luxury_oils"", ""botanical_extracts""], ""treatment_type"": ""luxury_scalp_massage"", ""duration_minutes"": 45}",2025-10-26 15:20:16.100247+00,2025-10-26 15:20:16.100247+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1,100.00
32e28c7f-94b3-4250-a512-e3031eb79880,378f24fb-d496-4ff7-8afa-ea34895a0eb8,03be6186-9e13-4ea5-9f91-0013d613148c,1,,service,VIP Full Color & Cut - COMPLETED,1.00000000,250.00000000,250.00000000,0.00000000,0.00000000,HERA.SALON.SALE.LINE.VIP_FULL.v1,DRAFT,0.0000,,{},"{""stylist"": ""Michele (Master Stylist)"", ""cut_style"": ""layered_modern"", ""color_formula"": ""custom_blonde_highlights"", ""completion_time"": ""2025-10-26T15:20:16.640Z"", ""service_completed"": true, ""customer_satisfaction"": ""outstanding"", ""service_duration_actual"": 185}",2025-10-26 15:20:16.720456+00,2025-10-26 15:20:16.720456+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1,250.00
3d5307cd-6998-45e1-9c37-fb7e50b6e0bb,378f24fb-d496-4ff7-8afa-ea34895a0eb8,03be6186-9e13-4ea5-9f91-0013d613148c,2,,service,Luxury Scalp Treatment - COMPLETED,1.00000000,100.00000000,100.00000000,0.00000000,0.00000000,HERA.SALON.SALE.LINE.SCALP.v1,DRAFT,0.0000,,{},"{""products_used"": [""argan_oil"", ""lavender_extract""], ""service_completed"": true, ""treatment_effectiveness"": ""excellent"", ""customer_relaxation_score"": 10}",2025-10-26 15:20:16.720456+00,2025-10-26 15:20:16.720456+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1,100.00
0a2b2828-7818-45f4-b036-a023e697c27d,378f24fb-d496-4ff7-8afa-ea34895a0eb8,03be6186-9e13-4ea5-9f91-0013d613148c,3,,tip,VIP Service Gratuity (20%),1.00000000,70.00000000,70.00000000,0.00000000,0.00000000,HERA.SALON.SALE.LINE.TIP_VIP.v1,DRAFT,0.0000,,{},"{""payment_method"": ""card"", ""tip_percentage"": 20, ""customer_satisfaction_indicator"": ""outstanding""}",2025-10-26 15:20:16.720456+00,2025-10-26 15:20:16.720456+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1,70.00
94b1fd98-1b65-4a1d-8e53-05a20fe25444,378f24fb-d496-4ff7-8afa-ea34895a0eb8,03be6186-9e13-4ea5-9f91-0013d613148c,4,,tax,Service Tax (5%),1.00000000,17.50000000,17.50000000,0.00000000,0.00000000,HERA.SALON.SALE.LINE.TAX.v1,DRAFT,0.0000,,{},"{""tax_rate"": 0.05, ""tax_type"": ""service_tax"", ""taxable_amount"": 350}",2025-10-26 15:20:16.720456+00,2025-10-26 15:20:16.720456+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1,17.50
93bd3a4e-0bf4-4ef7-80b0-9a50f15c4561,378f24fb-d496-4ff7-8afa-ea34895a0eb8,2e6d1b17-2de9-449d-bcd2-3254034bb1a6,1,,product,Professional Color Care Set (VIP),1.00000000,150.00000000,150.00000000,0.00000000,0.00000000,HERA.SALON.PRODUCT.LINE.COLOR_CARE_VIP.v1,DRAFT,0.0000,,{},"{""brand"": ""Salon Professional VIP"", ""product_code"": ""VIP-COLOR-CARE-001"", ""set_contents"": [""color_protecting_shampoo_500ml"", ""color_sealing_conditioner_500ml"", ""color_enhancing_mask_200ml""], ""vip_exclusive"": true, ""recommended_for"": ""colored_hair_maintenance""}",2025-10-26 15:20:17.329843+00,2025-10-26 15:20:17.329843+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1,150.00
687bf0c6-ca4b-4afc-9a5b-f3b6180b110b,378f24fb-d496-4ff7-8afa-ea34895a0eb8,2e6d1b17-2de9-449d-bcd2-3254034bb1a6,2,,product,Luxury Hair Oil Treatment,2.00000000,45.00000000,90.00000000,0.00000000,0.00000000,HERA.SALON.PRODUCT.LINE.LUXURY_OIL.v1,DRAFT,0.0000,,{},"{""size"": ""50ml"", ""brand"": ""Elite Hair Care"", ""usage"": ""weekly_deep_treatment"", ""product_code"": ""LUX-OIL-001"", ""key_ingredients"": [""argan_oil"", ""keratin"", ""vitamin_e""]}",2025-10-26 15:20:17.329843+00,2025-10-26 15:20:17.329843+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1,90.00
1bb88a39-0c40-419a-8c89-4546f48c373f,378f24fb-d496-4ff7-8afa-ea34895a0eb8,2e6d1b17-2de9-449d-bcd2-3254034bb1a6,3,,product,Heat Protection Spray (Professional),1.00000000,45.00000000,45.00000000,0.00000000,0.00000000,HERA.SALON.PRODUCT.LINE.HEAT_PROTECT.v1,DRAFT,0.0000,,{},"{""brand"": ""Thermal Guard Pro"", ""product_code"": ""HEAT-PROT-PRO-001"", ""suitable_for"": ""all_hair_types"", ""protection_level"": ""up_to_450_degrees"", ""professional_grade"": true}",2025-10-26 15:20:17.329843+00,2025-10-26 15:20:17.329843+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1,45.00
75fe0c47-7b20-4e4e-9966-6f860fa692e1,378f24fb-d496-4ff7-8afa-ea34895a0eb8,5663d690-ea03-4371-9a38-c1ba3149c289,1,4b351833-f817-4249-a316-2573235898ef,SERVICE,Balayage,1.00000000,600.00000000,600.00000000,0.00000000,0.00000000,HERA.SALON.APPOINTMENT.TXN.BOOKED.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""quantity"": 1, ""entity_id"": ""4b351833-f817-4249-a316-2573235898ef"", ""line_type"": ""service"", ""description"": ""Balayage"", ""line_amount"": 600, ""unit_amount"": 600}",2025-10-28 11:09:01.874125+00,2025-10-28 11:09:01.874125+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,600.00
c28433f3-aed1-4e98-b544-c842816ff038,378f24fb-d496-4ff7-8afa-ea34895a0eb8,c4df3fd0-8b07-41e6-92bb-29e6332ae529,1,09a715c7-17b4-4316-99d5-e2a6bfb86c0a,SERVICE,Full Global,1.00000000,450.00000000,450.00000000,0.00000000,0.00000000,HERA.SALON.APPOINTMENT.TXN.BOOKED.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""quantity"": 1, ""entity_id"": ""09a715c7-17b4-4316-99d5-e2a6bfb86c0a"", ""line_type"": ""service"", ""description"": ""Full Global"", ""line_amount"": 450, ""unit_amount"": 450}",2025-10-28 12:05:09.50429+00,2025-10-28 12:05:09.50429+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,450.00
36c9a1d7-52fd-4b5a-87a3-87daa7e2f108,378f24fb-d496-4ff7-8afa-ea34895a0eb8,5a23feca-6da5-451e-9c5e-57506bc2dc5f,1,09a715c7-17b4-4316-99d5-e2a6bfb86c0a,SERVICE,Full Global,1.00000000,450.00000000,450.00000000,0.00000000,0.00000000,HERA.SALON.APPOINTMENT.TXN.BOOKED.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""quantity"": 1, ""entity_id"": ""09a715c7-17b4-4316-99d5-e2a6bfb86c0a"", ""line_type"": ""service"", ""description"": ""Full Global"", ""line_amount"": 450, ""unit_amount"": 450}",2025-10-28 12:06:01.563356+00,2025-10-28 12:06:01.563356+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,450.00
3ab6d18f-72d1-414c-96fa-85003b670f1e,378f24fb-d496-4ff7-8afa-ea34895a0eb8,baec10ba-1873-4e75-882c-37f78075bac2,1,4b351833-f817-4249-a316-2573235898ef,SERVICE,Balayage,1.00000000,850.00000000,850.00000000,0.00000000,0.00000000,HERA.SALON.TXN.SALE.CREATE.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""metadata"": {""staff_id"": ""b5fc250f-f9e3-4a4f-a69c-af44e44caf39"", ""appointment_id"": ""5663d690-ea03-4371-9a38-c1ba3149c289""}, ""quantity"": 1, ""entity_id"": ""4b351833-f817-4249-a316-2573235898ef"", ""line_type"": ""service"", ""smart_code"": ""HERA.SALON.TXN.SERVICE.COMPLETE.V1"", ""description"": ""Balayage"", ""line_amount"": 850, ""line_number"": 1, ""unit_amount"": 850, ""discount_amount"": 0}",2025-10-28 13:33:13.134358+00,2025-10-28 13:33:13.134358+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,850.00
be0f170b-b050-4e89-b70a-78f547bc607a,378f24fb-d496-4ff7-8afa-ea34895a0eb8,baec10ba-1873-4e75-882c-37f78075bac2,2,,TAX,VAT (5.0%),1.00000000,42.50000000,42.50000000,0.00000000,0.00000000,HERA.SALON.TXN.SALE.CREATE.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""quantity"": 1, ""entity_id"": null, ""line_type"": ""tax"", ""smart_code"": ""HERA.SALON.TAX.VAT.TXN.V1"", ""description"": ""VAT (5.0%)"", ""line_amount"": 42.5, ""line_number"": 2, ""unit_amount"": 42.5}",2025-10-28 13:33:13.134358+00,2025-10-28 13:33:13.134358+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,42.50
6e6c1bf9-e656-458e-9edd-658f0c05a0bc,378f24fb-d496-4ff7-8afa-ea34895a0eb8,baec10ba-1873-4e75-882c-37f78075bac2,3,,PAYMENT,Payment - CARD,1.00000000,892.50000000,892.50000000,0.00000000,0.00000000,HERA.SALON.TXN.SALE.CREATE.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""metadata"": {""reference"": """", ""payment_method"": ""card""}, ""quantity"": 1, ""entity_id"": null, ""line_type"": ""payment"", ""smart_code"": ""HERA.SALON.POS.PAYMENT.CARD.V1"", ""description"": ""Payment - CARD"", ""line_amount"": 892.5, ""line_number"": 3, ""unit_amount"": 892.5}",2025-10-28 13:33:13.134358+00,2025-10-28 13:33:13.134358+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,892.50
a620f0ed-082d-4108-a4fa-f3cb9fd8c0de,378f24fb-d496-4ff7-8afa-ea34895a0eb8,6bc202e9-715c-4cc0-a40a-7c53b4f70963,1,8270ef88-a7d3-4d8b-b580-87f8f436e410,SERVICE,Hair Spa - Full Blow Dry,1.00000000,200.00000000,200.00000000,0.00000000,0.00000000,HERA.SALON.APPOINTMENT.TXN.BOOKED.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""quantity"": 1, ""entity_id"": ""8270ef88-a7d3-4d8b-b580-87f8f436e410"", ""line_type"": ""service"", ""description"": ""Hair Spa - Full Blow Dry"", ""line_amount"": 200, ""unit_amount"": 200}",2025-10-28 13:36:21.814301+00,2025-10-28 13:36:21.814301+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,200.00
8270601e-c7dc-4898-b123-27593ba37b7c,378f24fb-d496-4ff7-8afa-ea34895a0eb8,31d04eed-1cb9-4782-9abf-8c252d73146d,1,8270ef88-a7d3-4d8b-b580-87f8f436e410,SERVICE,Hair Spa - Full Blow Dry,1.00000000,200.00000000,200.00000000,0.00000000,0.00000000,HERA.SALON.TXN.SALE.CREATE.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""metadata"": {""staff_id"": ""b5fc250f-f9e3-4a4f-a69c-af44e44caf39"", ""appointment_id"": ""6bc202e9-715c-4cc0-a40a-7c53b4f70963""}, ""quantity"": 1, ""entity_id"": ""8270ef88-a7d3-4d8b-b580-87f8f436e410"", ""line_type"": ""service"", ""smart_code"": ""HERA.SALON.TXN.SERVICE.COMPLETE.V1"", ""description"": ""Hair Spa - Full Blow Dry"", ""line_amount"": 200, ""line_number"": 1, ""unit_amount"": 200, ""discount_amount"": 0}",2025-10-28 13:42:56.882118+00,2025-10-28 13:42:56.882118+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,200.00
6c340890-12bf-4e3e-aace-a03ca8067ad3,378f24fb-d496-4ff7-8afa-ea34895a0eb8,31d04eed-1cb9-4782-9abf-8c252d73146d,2,,TAX,VAT (5.0%),1.00000000,10.00000000,10.00000000,0.00000000,0.00000000,HERA.SALON.TXN.SALE.CREATE.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""quantity"": 1, ""entity_id"": null, ""line_type"": ""tax"", ""smart_code"": ""HERA.SALON.TAX.VAT.TXN.V1"", ""description"": ""VAT (5.0%)"", ""line_amount"": 10, ""line_number"": 2, ""unit_amount"": 10}",2025-10-28 13:42:56.882118+00,2025-10-28 13:42:56.882118+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,10.00
8dc6c66c-3706-42e8-92a2-ebea1563b25e,378f24fb-d496-4ff7-8afa-ea34895a0eb8,31d04eed-1cb9-4782-9abf-8c252d73146d,3,,PAYMENT,Payment - CARD,1.00000000,210.00000000,210.00000000,0.00000000,0.00000000,HERA.SALON.TXN.SALE.CREATE.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""metadata"": {""reference"": """", ""payment_method"": ""card""}, ""quantity"": 1, ""entity_id"": null, ""line_type"": ""payment"", ""smart_code"": ""HERA.SALON.POS.PAYMENT.CARD.V1"", ""description"": ""Payment - CARD"", ""line_amount"": 210, ""line_number"": 3, ""unit_amount"": 210}",2025-10-28 13:42:56.882118+00,2025-10-28 13:42:56.882118+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,210.00
